id,Historical Period,Time/Century,Edition name,URL,Scholarly,Digital,Edition,Language,Writing support,Begin date,End date,Manager or Editor,Institution(s),Audience,Philological statement,Account of textual variance,Value of witnesses,XML-TEI Transcription,XML(-TEI) available to download,Images,Zoom images,"Image manipulation (brightness, rotation, etc.)",Text-Image Linking,Source Text Translation,Website language,Glossary,Indices,String matching,Advanced search,Creative Commons License,Open source/Open access,Linked Open Data,API,Crowdsourcing,Feedback,Technological statement,Links to ext. resources,OCR or keyed?,Mobile friendly/application,Print-friendly view,Print facsimile (complementary output),Repository of source material(s),Place of origin of source material(s),Sponsor/Funding body,Budget (rough),Infrastructure,Current availability,RIDE review,Sahle Catalog,Citation,Handle-PID
131,Middle Ages,14th,Edizione Critica Ipertestuale dello Zibaldone Laurenziano (Pluteo XXIX.8) autografo di Giovanni Boccaccio,http://rmcisadu.let.uniroma1.it/boccaccio/,yes,yes,yes,LAT,Manuscript,1996,not provided,Raul Mordenti,Università degli Studi di Roma La Sapienza,not provided,yes,not provided,not provided,yes,no,yes,no,no,no,ITA,ITA,no,no,no,no,no,yes,no,no,no,yes,yes,no,not provided,no,not provided,not provided,Biblioteca Medicea Laurenziana,Italy,MIUR,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D102-6
132,Early Modern,1530-1540,"A Social Edition of the Devonshire MS (BL Add 17,492)",http://en.wikibooks.org/wiki/The_Devonshire_Manuscript,yes,yes,yes,ENG,Manuscript,not provided,not provided,Raymond Siemens,University of Victoria,Citizen scholars,yes,not provided,not provided,yes,no,yes,yes,no,no,no,ENG,no,no,yes,no,yes,Open Access and Open Source (some data),no,no,no,yes,yes,no,Keyed,yes,yes,not provided,British Library,England,not provided,not provided,Wikibooks,yes,no,yes,not provided,21.11115/0000-000B-D103-5
133,Early Modern,15th-17th,Les Bibliothèques Virtuelles Humanistes,http://www.bvh.univ-tours.fr/#,no,yes,no,MIX,Manuscript; Book,2002,present,Sandrine Breuil,Centre d'Études Supérieures de la Renaissance,not provided,yes,not provided,not provided,yes,no,yes,no,no,no,not provided,FRE,no,no,yes,yes,yes,Open Access and Open Source (some data),no,no,no,yes,partly,yes,Keyed,no,not provided,not provided,Various,Various,not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D104-4
134,Middle Ages,1450,The Paris Codex,http://digital.library.northwestern.edu/codex/index.html,no,yes,no,MYN,Manuscript; Codex,not provided,not provided,Scott Garton,Northwestern University Library,not provided,partly,not provided,not provided,no,yes,yes,no,no,no,no,ENG,no,yes,no,no,no,Open Access and Open Source (all data),no,no,no,yes,no,no,Keyed,no,not provided,not provided,Bibliothèque nationale de France,"Yucatán, Mexico",not provided,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D105-3
135,Early Modern,1787-1788,The Memorandoms of James Martin,https://www.ucl.ac.uk/Bentham-Project/publications/martins-memorandoms/martins-memorandoms.html,yes,yes,yes,ENG,Journal,not provided,2014,Tim Causer,University College London,not provided,yes,not provided,not provided,yes,no,no,no,no,no,no,ENG,not provided,not provided,no,no,no,Open Access and Open Source (some data),not provided,not provided,not provided,not provided,no,no,not provided,no,not provided,not provided,University College London Library,England,not provided,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D106-2
136,Middle Ages,13th,Actes Royaux,http://www.cn-telma.fr/actesroyaux/index/,yes,yes,yes,LAT,Register; Manuscript,not provided,not provided,Xavier Hélary,CNRS (Centre national de la recherche scientifique),not provided,partly,not provided,not provided,partly,no,no,no,no,no,no,FRE,no,no,yes,yes,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,not provided,Various,not provided,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D107-1
137,Long Nineteenth Century,pre-1920,American Verse Project,http://quod.lib.umich.edu/a/amverse/,yes,yes,no,ENG,Book,not provided,not provided,not provided,University of Michigan; University of Michigan Press,General public,partly,no,not provided,yes,no,no,no,no,no,no,ENG,no,yes,yes,yes,no,yes,no,no,no,yes,partly,yes,OCR,no,not provided,no,Various,Various,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D108-0
138,Middle Ages,11th,Bernard Muir's CD-ROM facsimile of Bodleian Library MS Junius 11,http://www.bodleianshop.co.uk/a-digital-facsimile-of-oxford-bodleian-library-ms-junius-11.html,yes,yes,no,ANG,Manuscript,not provided,2004,Bernard J. Muir,Bodleian Library,"Scholars and students of Anglo-Saxon literature, art, history, and culture; bibliophiles; collectors",partly,not provided,not provided,no,no,yes,yes,no,yes,ENG,ENG,not provided,not provided,not provided,not provided,no,no,no,no,no,yes,no,no,Keyed,no,not provided,not provided,Bodleian Library,England,Bodleian Library,not provided,CDROM,no,no,no,not provided,21.11115/0000-000B-D109-F
139,Early Modern,1759,Candide 2.0,http://candide.nypl.org/text/,no,yes,no,FRE,Manuscript,not provided,not provided,Alice Boone; Ben Vershbow; Eddie A. Tejeda,New York Public Library,General public,yes,not provided,not provided,no,no,no,no,no,no,ENG,ENG,no,no,no,no,no,yes,no,no,yes,yes,partly,yes,Keyed,no,not provided,not provided,Bibliothèque nationale de France; Bibliothèque de l'Arsenal,France,not provided,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D10A-E
140,Modern,1941-1944,Chronik des Gettos Łódź / Litzmannstadt,http://www.getto-chronik.de/de/,no,yes,yes,GER; POL,Chronicle; Diary,2009,2011,not provided,Staatsarchive Łódź,not provided,partly,not provided,not provided,no,no,yes,no,no,no,no,GER; ENG,no,yes,yes,yes,no,yes,no,no,no,yes,no,yes,not provided,no,not provided,not provided,not provided,Łódź,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D10B-D
141,Long Nineteenth Century,1853-1867,Clotel by William Wells Brown,http://www.upress.virginia.edu/content/clotel-william-wells-brown-electronic-scholarly-edition,yes,yes,yes,ENG,Novel,not provided,not provided,Christopher Mulvey,University of Virginia,Scholars; Students,partly,not provided,not provided,yes,no,no,not provided,not provided,not provided,no,ENG,not provided,not provided,not provided,not provided,no,no,no,no,no,not provided,not provided,no,not provided,yes,not provided,not provided,not provided,United States,Andrew W. Mellon Foundation; President's Office of the University of Virginia,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D10C-C
142,Antiquity,not provided,DASI: Digital Archive for the Study of Pre-Islamic Arabian Inscriptions,http://dasi.humnet.unipi.it/,no,yes,no,ARA,Stone,not provided,not provided,Alessandra Avanzini,Università di Pisa; Scuola Normale Superiore di Pisa,General public,yes,not provided,yes,yes,no,yes,yes,no,no,ENG,ENG,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,Keyed,yes,not provided,not provided,Various,Various,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D10D-B
143,Middle Ages,14th,"Datini, Lettere",http://datini.archiviodistato.prato.it/la-ricerca/le-edizioni-delle-lettere#n,no,yes,yes,ITA,Manuscript,2002,not provided,not provided,Archivio di Stato di Prato,not provided,partly,not provided,not provided,partly,no,yes,yes,no,no,ITA,ITA,no,yes,yes,yes,no,yes,no,no,no,yes,no,yes,Keyed,no,yes,not provided,Archivio di Stato di Prato,Italy,Archivio di Stato di Prato,not provided,CDROM,yes,no,no,not provided,21.11115/0000-000B-D10E-A
144,Long Nineteenth Century,1826,Digital Shikshapatri,http://www.shikshapatri.org.uk/,no,yes,yes,SAN,Manuscript,2000,not provided,Gillian Evison; Marilyn Deegan,University of Oxford,General public,partly,not provided,not provided,no,no,yes,no,no,no,no,ENG,yes,no,yes,no,no,yes,no,no,no,yes,partly,yes,Keyed,no,not provided,not provided,Bodleian Library,India,New Opportunities Fund,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D10F-9
145,Middle Ages,975-1025,Electronic Beowulf 4.0,http://ebeowulf.uky.edu/,yes,yes,yes,ANG,Manuscript,not provided,not provided,Kevin Kiernan,University of Kentucky,Students; general public; scholars,yes,not provided,yes,no,no,yes,yes,no,partly,ENG,ENG,yes,no,yes,yes,no,yes,no,no,no,yes,partly,yes,Keyed,no,not provided,not provided,British Library,England,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D110-6
146,Long Nineteenth Century,19th,Emily Dickinson's Archive,http://www.edickinson.org/,yes,yes,yes,ENG,Manuscript,not provided,not provided,not provided,Various,not provided,partly,not provided,not provided,yes,no,yes,yes,no,no,no,ENG,no,no,yes,yes,yes,Open Access and Open Source (some data),no,no,no,yes,yes,yes,Keyed,no,not provided,not provided,American Antiquarian Society; Amherst College; Beinecke Rare Book and Manuscript Library; Boston Public Library; Houghton Library; Library of Congress; Smith College Libraries; Vassar College,United States,"The Sidney Verba Fund, Harvard Library; the Emily Dickinson Fund, Houghton Library; Harvard University Press",not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D111-5
147,Long Nineteenth Century,1830-1886,Emily Dickinson's Correspondences,http://rotunda.upress.virginia.edu/edc/,yes,yes,yes,ENG,Letter,not provided,2008,Martha Nell Smith; Lara Vetter,University of Virginia,Dickinson scholars,yes,not provided,not provided,yes,no,yes,yes,no,no,no,ENG,not provided,not provided,not provided,not provided,no,no,no,no,no,yes,partly,yes,Keyed,no,not provided,not provided,not provided,United States,Andrew W. Mellon Foundation; President's Office of the University of Virginia,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D112-4
148,Early Modern,1555,Gabriel Harvey's Livy Online,http://abo.annotatedbooksonline.com/#binding-5-1,no,yes,no,ENG,Manuscript,not provided,not provided,Paul Dijstelberge; Anthony Grafton; Lisa Jardine; Bart Jaski; Jürgen Pieters; William Sherman; Els Stronks; Matthew Symonds; Arnoud Visser,University College London; University of Utrecht; Princeton University,not provided,partly,not provided,not provided,no,no,yes,yes,yes,partly,ENG,ENG,no,no,yes,yes,no,Open Access and Open Source (some data),no,no,no,no,no,yes,Keyed,no,not provided,not provided,Princeton University Library,England,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D113-3
149,Early Modern,1600-1630,Galileo Galilei's Notes on Motion,http://www.mpiwg-berlin.mpg.de/Galileo_Prototype/MAIN.HTM,yes,yes,yes,ITA,Manuscript,1988,not provided,Isabella Truci; Paolo Galluzzi; Jürgen Renn,Max Planck Institute for the History of Science,not provided,yes,not provided,not provided,no,no,yes,yes,no,no,no,ENG,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,Keyed,no,not provided,not provided,Biblioteca Nazionale Centrale di Firenze,Italy,not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D114-2
150,Middle Ages,15th,Göttinger Statuten (kundige bok 2),http://kundigebok.stadtarchiv.goettingen.de/kb2Web/html/,yes,yes,not provided,GMH,Manuscript,not provided,2009,Malte Rehbein,University of Göttingen,not provided,yes,not provided,not provided,yes,no,no,not provided,not provided,not provided,not provided,GER,not provided,yes,no,no,no,yes,not provided,no,no,not provided,yes,yes,Keyed,no,not provided,not provided,Stadtarchiv Göttingen,Göttingen,not provided,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D115-1
151,Long Nineteenth Century,1819-1891,Herman Melville's Typee,http://rotunda.upress.virginia.edu/melville/,yes,yes,yes,ENG,Manuscript; Book,2006,2009,John Bryant,University of Virginia,not provided,partly,not provided,not provided,yes,no,yes,yes,no,no,no,ENG,not provided,not provided,not provided,not provided,no,no,no,no,no,yes,partly,yes,Keyed,no,not provided,not provided,New York Public Library,United States,Andrew W. Mellon Foundation; President's Office of the University of Virginia,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D116-0
152,Early Modern,18th,In Mozart's Words,http://letters.mozartways.com/,yes,yes,yes,GER,Letter,not provided,2011,Cliff Eisen,University of Sheffield; King's College London; Stiftung Mozarteum Salzburg,not provided,yes,not provided,not provided,yes,no,no,no,no,no,no,ENG; GER; ITA; FRE,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,Keyed,no,yes,not provided,Stiftung Mozarteum Salzburg,Various,not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D117-F
153,Early Modern; Long Nineteenth Century,19th,Intibah Edition and Transcription,http://courses.washington.edu/otap/intibah/intibah.html,no,yes,no,OTA,Novel,forthcoming,not provided,Selim S. Kuru,University of Washington,not provided,partly,not provided,partly,not provided,no,yes,yes,no,no,no,ENG,no,no,no,no,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,not provided,Turkey,not provided,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D118-E
154,Long Nineteenth Century,1879,Jerilderie Letter,http://www.nma.gov.au/collections/collection_interactives/jerilderie_letter,no,yes,yes,ENG,Letter,not provided,not provided,not provided,National Museum of Australia,not provided,partly,not provided,yes,no,no,yes,no,no,no,no,ENG,no,no,no,no,no,yes,no,no,no,yes,partly,yes,Keyed,no,not provided,not provided,State Library of Victoria,Australia,not provided,not provided,Flash,no,no,no,not provided,21.11115/0000-000B-D119-D
155,Early Modern,1621,John Barclay: Argenis,http://www.chlt.org/sandbox/colloquia/argenis/index.html,no,yes,yes,LAT,Manuscript,not provided,not provided,not provided,University of Kentucky,not provided,partly,not provided,not provided,no,no,no,no,no,no,no,ENG; LAT,no,no,no,no,no,yes,no,no,no,no,no,no,Keyed,no,not provided,not provided,Various,Italy,not provided,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D11A-C
156,Long Nineteenth Century,1819-1839,Journal of Emily Shore,http://rotunda.upress.virginia.edu/EmilyShore/make-page.xqy,no,yes,yes,ENG,Journal,not provided,2006,Barbara Timm Gates,University of Virginia,not provided,partly,not provided,not provided,yes,no,yes,not provided,not provided,not provided,no,ENG,not provided,not provided,yes,not provided,no,no,no,no,no,yes,not provided,no,Keyed,no,not provided,not provided,University of Delaware Library,United States,Andrew W. Mellon Foundation; President's Office of the University of Virginia,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D11B-B
157,Long Nineteenth Century,1846-1870,Lautréamont / Ducasse,http://www.phalese.fr/Maldoror/index.php?title=Accueil,yes,yes,yes,FRE,Letter; Manuscript,not provided,not provided,not provided,Université Sorbonne Nouvelle Paris 3,not provided,partly,not provided,not provided,no,yes,no,no,no,no,no,FRE,no,yes,yes,no,no,Open Access and Open Source (all data),no,no,no,no,partly,yes,Keyed,no,not provided,not provided,Various,France,not provided,not provided,MediaWiki,no,no,no,not provided,21.11115/0000-000B-D11C-A
158,Middle Ages,1217-1282,Le Cartulaire de la seigneurie de Nesle,http://www.cn-telma.fr/nesle/index/,yes,yes,yes,LAT; FRM,Manuscript,not provided,not provided,not provided,CNRS (Institut de recherche et d'histoire des textes),not provided,partly,not provided,yes,not provided,no,yes,no,no,no,no,FRE,no,yes,no,no,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,Musée Condé,France,not provided,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D11D-9
159,Early Modern; Long Nineteenth Century,1785-1812,Martha Ballard's Diary Online,http://dohistory.org/diary/index.html,yes,yes,yes,ENG,Diary,not provided,not provided,Richard P. Rogers,Roy Rosenzweig Center for History and New Media (George Mason University),not provided,yes,not provided,not provided,no,no,yes,no,no,no,no,ENG,no,no,yes,yes,no,yes,no,no,no,yes,partly,yes,Keyed,no,not provided,not provided,Maine State Library,United States,National Endowment for the Humanities; Maine Humanities Council,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D11E-8
160,Long Nineteenth Century,1855-1920,Olive Schreiner Letters Online,http://www.oliveschreiner.org/,yes,yes,yes,ENG,Manuscript,not provided,2012,Liz Stanley,University of Edinburgh; Leeds Metropolitan University; University of Sheffield,not provided,yes,not provided,not provided,partly,no,no,no,no,no,no,ENG,not provided,not provided,yes,yes,no,Open Access and Open Source (some data),not provided,not provided,no,not provided,partly,yes,Keyed,no,yes,not provided,Various,South Africa,Economic and Social Research Council,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D11F-7
161,Long Nineteenth Century; Modern,19th-20th,Online Electronic Variorum of the Works of Rabindranath Tagore,http://rabindranathtagore-150.gov.in/online-voriourum.html,no,yes,yes,BEN,Manuscript; Book,not provided,not provided,R. N. Tripathy,Indian Ministry of Culture,Scholars; general public; professionals,partly,not provided,partly,no,no,not provided,not provided,not provided,not provided,no,ENG,not provided,not provided,not provided,not provided,no,not provided,not provided,no,no,yes,not provided,no,Keyed,no,not provided,not provided,not provided,India,not provided,282 Rs lakhs.,not provided,no,no,yes,not provided,21.11115/0000-000B-D120-4
162,Middle Ages,13th-14th,Ordonnances de l'hôtel du roi,http://www.cn-telma.fr/ordonnances/index/,yes,yes,yes,FRO,Manuscript,not provided,not provided,not provided,CNRS (Institut de recherche et d'histoire des textes),not provided,partly,not provided,not provided,not provided,no,no,no,no,no,no,FRE,no,yes,yes,no,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,Archives Nationales; Bibliotheque Nationale de France,France,not provided,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D121-3
163,Antiquity,2nd BC,Septuaginta LXX,http://septuaginta.net/,yes,yes,yes,GRC,Codex,not provided,not provided,not provided,not provided,not provided,partly,not provided,not provided,no,no,no,no,no,no,ENG,ENG,no,yes,no,no,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,Various,Various,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D122-2
164,Middle Ages,not provided,Sirat Bani Hilal Digital Archive,http://www.siratbanihilal.ucsb.edu/start-0,no,yes,no,ARA,Audio Recording; Image; Manuscript,1980,not provided,Dwight F. Reynolds,University of California Santa Barbara,Scholars,partly,not provided,not provided,no,no,no,no,no,no,ENG,ENG; ARA,no,no,no,no,yes,yes,no,no,yes,yes,no,yes,Keyed,no,yes,not provided,Various,Various,not provided,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D123-1
